Signature	Number_unique	Number_similar	Similar_signatures	Lowest_LD	Lowest_LD_signature
FXYD1 PRKCB	602	13	ATM GNAI1 PRKCB, -3;ATP5B BMI1 FXYD1 PRLR, -2;BAK1 ELN PRKCB, -3;BAK1 EXT1 FXYD1 PAX2, -2;BDNF PRKCB TGFB2, -3;CCDC81 COL1A1 FXYD1 TGFBR3 VENTX, -1;DDR2 PRKCB, -4;FXYD1, -4;FXYD1 HMOX1 PAIP2B PRLR, -2;FXYD1 PKNOX1 SLC7A2, -3;FXYD1 SETD4, -4;GNAI1 PRKCB QPCTL, -3;ITIH4 PRKCB REEP1 RPL10A XBP1, -1	-4	DDR2 PRKCB
FXYD1 SETD4	606	9	ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;ATP5B BMI1 FXYD1 PRLR, -2;BAK1 EXT1 FXYD1 PAX2, -2;CCDC81 COL1A1 FXYD1 TGFBR3 VENTX, -1;FXYD1, -4;FXYD1 HMOX1 PAIP2B PRLR, -2;FXYD1 PKNOX1 SLC7A2, -3;FXYD1 PRKCB, -4;NOX3 RREB1 SETD4, -3	-4	FXYD1
FXYD5	612	3	FXYD5 GABBR2 GPR137B, -3;FXYD5 GPR137B, -4;FXYD5 NGF PAX4, -3	-4	FXYD5 GPR137B
FXYD5 GABBR2 GPR137B	604	11	ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;CEACAM1 GABBR2 RCN3, -3;CEACAM1 GADD45G GPR137B MCTP2, -2;CPB2 GABBR2 S100P SYT5, -2;FXYD5, -3;FXYD5 GPR137B, -9;FXYD5 NGF PAX4, -3;GABBR2 GADD45G PDIA3, -2;GNAI1 GPR137B IL12A RCAN2, -1;GPR137B, -3;GPR137B MME, -2	-9	FXYD5 GPR137B
FXYD5 GPR137B	607	8	ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;CEACAM1 GADD45G GPR137B MCTP2, -2;FXYD5, -4;FXYD5 GABBR2 GPR137B, -9;FXYD5 NGF PAX4, -3;GNAI1 GPR137B IL12A RCAN2, -2;GPR137B, -4;GPR137B MME, -3	-9	FXYD5 GABBR2 GPR137B
FXYD5 NGF PAX4	596	19	ACTN1 ITGB4 LAMB3 PAX4, -2;ACTN1 NGF, -3;ATM ELN NGF PRKCA, -2;CARD9 NGF SOX2, -3;ELN ERCC2 NGF SYK, -2;ELN PAX4 TGFB2, -2;ERCC2 KATNA1 MAPT NGF, -1;F13A1 HNF4A NGF RPL10A, -2;F3 INS LAMA5 PAX4 TGFB2, -1;FXYD5, -3;FXYD5 GABBR2 GPR137B, -3;FXYD5 GPR137B, -3;HMGA1 NGF PDGFC, -3;HMGA1 NGF VEGFC, -3;NGF, -3;NGF PRKCA SH3TC1 TGFBI, -1;NGF TLE1, -3;PAX4, -3;PAX4 RPL10A TUBB6, -1	-3	ACTN1 NGF
G0S2 HRH4 KRT32	611	4	CBR1 HRH4, -3;CBR3 IL23A KRT32 PHF20, -2;ELN HRH4, -3;HMG20B HRH4, -3	-3	CBR1 HRH4
GAA	610	5	CPB2 ERCC2 GAA KCNK12 MT1H, -1;DHRS7 GAA GNAI1, -3;GAA GPR35 MSC SCN5A, -2;GAA GPR35 MSC SCN5A UGT1A1, -1;GAA GRIK3 KCNK12 MT1H, -2	-3	DHRS7 GAA GNAI1
GAA GPR35 MSC SCN5A	592	23	ACTN1 MRPS12 MSC, -2;ALX1 FLI1 GPR35 NPY1R, -1;CALCOCO1 MSC, -2;CD1D GPR35 ITIH4 OSBPL9, -2;CEACAM1 HNF4A MSC, -2;CPB2 DLG2 ELN MSC, -1;CPB2 ERCC2 GAA KCNK12 MT1H, 0;DHRS7 GAA GNAI1, -1;FAM134B MSC, -2;FARP1 RCN3 REEP1 SCN5A, -2;GAA, -2;GAA GPR35 MSC SCN5A UGT1A1, -19;GAA GRIK3 KCNK12 MT1H, -2;GDNF NHLH1 SCN5A, -2;GPR35 IL12A LAMB3, -2;IGF1 MSC PDIA3 PPA2, -1;MRPS12 MSC, -2;MSC, -2;MSC PHLDA1 TM4SF1, -1;MSC QKI, -2;MSC ZMYND10, -2;MYL1 SCN5A, -2;SCN5A, -2	-19	GAA GPR35 MSC SCN5A UGT1A1
GAA GPR35 MSC SCN5A UGT1A1	592	23	ACTN1 MRPS12 MSC, -1;ALX1 FLI1 GPR35 NPY1R, 0;CALCOCO1 MSC, -1;CD1D GPR35 ITIH4 OSBPL9, -1;CEACAM1 HNF4A MSC, -1;CPB2 DLG2 ELN MSC, 0;CPB2 ERCC2 GAA KCNK12 MT1H, 1;DHRS7 GAA GNAI1, 0;FAM134B MSC, -1;FARP1 RCN3 REEP1 SCN5A, -1;GAA, -1;GAA GPR35 MSC SCN5A, -19;GAA GRIK3 KCNK12 MT1H, -1;GDNF NHLH1 SCN5A, -1;GPR35 IL12A LAMB3, -1;IGF1 MSC PDIA3 PPA2, -1;MRPS12 MSC, -1;MSC, -1;MSC PHLDA1 TM4SF1, -1;MSC QKI, -1;MSC ZMYND10, -1;MYL1 SCN5A, -1;SCN5A, -1	-19	GAA GPR35 MSC SCN5A
GAA GRIK3 KCNK12 MT1H	594	21	ADAM28 ELN GRIK3, -1;AGER KCNK12, -2;C1QA GRIK3 TRIP10, -2;CBR1 EXT1 GRIK3 HTR2A, -1;CBR1 GRIK3, -2;CPB2 ERCC2 GAA KCNK12 MT1H, -12;CTGF MT1H, -2;DHRS7 GAA GNAI1, -1;FBN1 MT1H, -2;FBN1 MT1H VENTX, -1;GAA, -2;GAA GPR35 MSC SCN5A, -2;GAA GPR35 MSC SCN5A UGT1A1, -1;GRIK3 LMO3 QPCTL VAMP5, -1;GRIK3 NMT2, -2;GTDC1 KCNK12 MT1H PRLR, -7;IFI16 IRAK3 ITGBL1 LAMA5 MT1H SGK1, 0;KCNK12 MT1H PRLR SLC34A1, -6;MCTP2 MT1H PKNOX1 RPH3AL, 0;MT1H, -2;MT1H PRKCA, -1	-12	CPB2 ERCC2 GAA KCNK12 MT1H
GABBR2 GADD45G PDIA3	593	22	ATP5B GADD45G KIF14, -3;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;BSCL2 CD40 GRTP1 PDIA3, -2;C1QA PDIA3 SAMD9 VEGFC, -1;CEACAM1 GABBR2 RCN3, -2;CEACAM1 GADD45G GPR137B MCTP2, -2;CLEC4M GADD45G HOXA3 SLC39A4, -2;CPB2 GABBR2 S100P SYT5, -2;ELK3 MRPS12 PDIA3 QKI, -2;FLI1 HMGA1 PDIA3 TRIP10, -2;FXYD5 GABBR2 GPR137B, -2;GADD45G, -3;GADD45G MSX2 NOX3 RPH3AL SRGAP3, 0;GADD45G NMT2, -3;GADD45G NMT2 SLC7A2, -2;GADD45G PLXNC1, -3;GTF2H5 PDIA3 WIPF1 ZIC4, -1;IGF1 MSC PDIA3 PPA2, -2;PDIA3, -3;PDIA3 PNLIP, -2;PDIA3 SYK, -2	-3	ATP5B GADD45G KIF14
GADD45B	612	3	GADD45B ITGBL1 NOX3 RPH3AL SYK, -1;GADD45B KIF13B, -4;GADD45B SYK, -4	-4	GADD45B KIF13B
GADD45B ITGBL1 NOX3 RPH3AL SYK	582	33	AGER CTGF ITGBL1, 0;AGER RPH3AL TBXA2R, -1;ATP1B3 FLI1 FOXC2 NOX3 SLC22A8, 0;ATP5B C1QA ERCC2 HNF4A SYK, -1;BAK1 LCN2 MYL1 NOX3 RCVRN, 0;BIRC3 EVI2A ITIH4 RPH3AL, -1;BIRC3 QPCTL RPH3AL, -1;C1orf21 NOX3 OLFML2B, -1;DDR2 FBN1 ITGBL1 TLE1, 0;ELK3 FAM134B NOX3, -1;ELN ERCC2 NGF SYK, -1;FBN1 ITGBL1, -1;FBN1 MRPS12 NOX3 TBXA2R, -1;FRAT1 SYK, -1;GADD45B, -1;GADD45B KIF13B, -1;GADD45B SYK, -7;GADD45G MSX2 NOX3 RPH3AL SRGAP3, -7;HR ITGBL1 SYNPO VAMP5 XBP1, -1;HTR2A RPH3AL TLR4, -1;IFI16 IRAK3 ITGBL1 LAMA5 MT1H SGK1, 0;IFI16 NOX3 RREB1, -1;ITGBL1, -1;ITGBL1 LAMA5, -1;ITGBL1 PRKCA, -1;ITGBL1 ZNF668, -1;MCTP2 MT1H PKNOX1 RPH3AL, -1;NOX3 RREB1 SETD4, -1;NOX3 RREB1 VENTX, -1;PDIA3 SYK, -1;RPH3AL, -1;RPH3AL TRIP10, -1;SYK, -1	-7	GADD45B SYK
GADD45B KIF13B	606	9	DLG2 KIF13B, -4;GADD45B, -4;GADD45B ITGBL1 NOX3 RPH3AL SYK, -1;GADD45B SYK, -4;GRTP1 KIF13B MRTO4 RPL18, -2;HMGA1 ITGB7 KIF13B PADI3, -2;ITGB7 KIF13B SLC7A2, -3;KIF13B, -4;KIF13B PRLR, -3	-4	DLG2 KIF13B
GADD45B SYK	607	8	ATP5B C1QA ERCC2 HNF4A SYK, -1;ELN ERCC2 NGF SYK, -2;FRAT1 SYK, -4;GADD45B, -4;GADD45B ITGBL1 NOX3 RPH3AL SYK, -7;GADD45B KIF13B, -4;PDIA3 SYK, -4;SYK, -4	-7	GADD45B ITGBL1 NOX3 RPH3AL SYK
GADD45G	605	10	ATP5B GADD45G KIF14, -3;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;CEACAM1 GADD45G GPR137B MCTP2, -2;CLEC4M GADD45G HOXA3 SLC39A4, -2;GABBR2 GADD45G PDIA3, -3;GADD45G MSX2 NOX3 RPH3AL SRGAP3, -1;GADD45G NMT2, -4;GADD45G NMT2 SLC7A2, -3;GADD45G PLXNC1, -4	-4	GADD45G NMT2
GADD45G MSX2 NOX3 RPH3AL SRGAP3	582	33	AGER RPH3AL TBXA2R, -1;ATP1B3 FLI1 FOXC2 NOX3 SLC22A8, 0;ATP5B GADD45G KIF14, 0;BAK1 FBN1 GADD45G TLE1, 1;BAK1 GADD45G TLE1, 0;BAK1 LCN2 MYL1 NOX3 RCVRN, 0;BIRC3 EVI2A ITIH4 RPH3AL, -1;BIRC3 QPCTL RPH3AL, -1;C1orf21 NOX3 OLFML2B, -1;CEACAM1 GADD45G GPR137B MCTP2, 0;CLEC4M GADD45G HOXA3 SLC39A4, 0;CLEC4M RCN3 SRGAP3 TCF4, 0;COL1A1 MSX2 MYL1 RPL10A TAS2R16, -1;ELK3 FAM134B NOX3, -1;ERCC2 IGF1R MSX2 PLXNC1, 0;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 2;FBN1 MRPS12 NOX3 TBXA2R, -1;GABBR2 GADD45G PDIA3, 0;GADD45B ITGBL1 NOX3 RPH3AL SYK, -7;GADD45G, -1;GADD45G NMT2, -1;GADD45G NMT2 SLC7A2, -1;GADD45G PLXNC1, -1;HTR2A RPH3AL TLR4, -1;IFI16 NOX3 RREB1, -1;LALBA SLC5A4 SRGAP3, -1;MCTP2 MT1H PKNOX1 RPH3AL, -1;MSX2 NMT2 RPL10A TAS2R16, -1;MSX2 PTGES3 TAS2R16, -1;NOX3 RREB1 SETD4, -1;NOX3 RREB1 VENTX, -1;RPH3AL, -1;RPH3AL TRIP10, -1	-7	GADD45B ITGBL1 NOX3 RPH3AL SYK
GADD45G NMT2	596	19	ATM HMG20B NMT2, -3;ATP5B GADD45G KIF14, -3;ATP5B MAPT NMT2, -3;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;CEACAM1 GADD45G GPR137B MCTP2, -2;CLEC4M GADD45G HOXA3 SLC39A4, -2;ERCC2 ITIH4 NMT2, -3;FARP1 NMT2, -4;GABBR2 GADD45G PDIA3, -3;GADD45G, -4;GADD45G MSX2 NOX3 RPH3AL SRGAP3, -1;GADD45G NMT2 SLC7A2, -9;GADD45G PLXNC1, -4;GRIK3 NMT2, -4;MSX2 NMT2 RPL10A TAS2R16, -2;NMT2, -4;NMT2 PPA2, -3;NMT2 TGFBR3, -3	-9	GADD45G NMT2 SLC7A2
GADD45G NMT2 SLC7A2	588	27	ATM HMG20B NMT2, -2;ATP5B GADD45G KIF14, -2;ATP5B MAPT NMT2, -2;BAK1 FBN1 GADD45G TLE1, -1;BAK1 GADD45G TLE1, -2;CEACAM1 GADD45G GPR137B MCTP2, -2;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;CLEC4M GADD45G HOXA3 SLC39A4, -2;DHRS7 ELK3 FBN1 SLC7A2, -2;ERCC2 ITIH4 NMT2, -2;FARP1 NMT2, -3;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 0;FXYD1 PKNOX1 SLC7A2, -3;GABBR2 GADD45G PDIA3, -2;GADD45G, -3;GADD45G MSX2 NOX3 RPH3AL SRGAP3, -1;GADD45G NMT2, -9;GADD45G PLXNC1, -3;GRIK3 NMT2, -3;HOXB8 SLC7A2 WIPF1, -2;ITGB7 KIF13B SLC7A2, -3;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, -1;MSX2 NMT2 RPL10A TAS2R16, -2;NMT2, -3;NMT2 PPA2, -3;NMT2 TGFBR3, -3;SLC7A2, -3	-9	GADD45G NMT2
GADD45G PLXNC1	599	16	ATP5B GADD45G KIF14, -3;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -3;CEACAM1 GADD45G GPR137B MCTP2, -2;CLEC4M GADD45G HOXA3 SLC39A4, -2;ERCC2 IGF1R MSX2 PLXNC1, -2;FAM134B HNF4A NRTN PLXNC1, -2;GABBR2 GADD45G PDIA3, -3;GADD45G, -4;GADD45G MSX2 NOX3 RPH3AL SRGAP3, -1;GADD45G NMT2, -4;GADD45G NMT2 SLC7A2, -3;LAMA5 PLXNC1, -4;PADI3 PLXNC1, -4;PLXNC1, -4;PLXNC1 WIPF1, -3	-4	GADD45G
GDNF	605	10	ACTN1 GDNF PAIP2B, -3;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;DAB2 GDNF INS, -3;DAB2 GDNF MME, -3;DTNA GDNF RBM4B WFDC1, -2;F3 GDNF ITGB4, -3;FLI1 GDNF TAS2R16, -3;FRAT1 GDNF OSBPL9, -3;GDNF MCTP2 PAX2 QPCTL, -2;GDNF NHLH1 SCN5A, -3	-3	ACTN1 GDNF PAIP2B
GDNF MCTP2 PAX2 QPCTL	592	23	ACTN1 GDNF PAIP2B, -1;BAK1 EXT1 FXYD1 PAX2, -1;BAZ2A IRAK3 QPCTL, -2;BIRC3 GTDC1 JPH2 PAX2, -1;BIRC3 QPCTL RPH3AL, -1;CEACAM1 GADD45G GPR137B MCTP2, 0;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;DAB2 GDNF INS, -1;DAB2 GDNF MME, -1;DDR2 HMG20B MCTP2 TLE1, -1;DTNA GDNF RBM4B WFDC1, -1;F3 GDNF ITGB4, -1;FAM134B OLFML2B PAX2 SYNPO, -2;FLI1 GDNF TAS2R16, -1;FRAT1 GDNF OSBPL9, -1;GDNF, -2;GDNF NHLH1 SCN5A, -2;GNAI1 PRKCB QPCTL, -2;GRIK3 LMO3 QPCTL VAMP5, -1;IRAK3 QPCTL, -2;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, -1;MCTP2, -2;MCTP2 MT1H PKNOX1 RPH3AL, -1	-2	BAZ2A IRAK3 QPCTL
GDNF NHLH1 SCN5A	596	19	ACTN1 GDNF PAIP2B, -2;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;DAB2 GDNF INS, -2;DAB2 GDNF MME, -2;DTNA GDNF RBM4B WFDC1, -2;E2F5 NHLH1 TRIM32, -3;F3 GDNF ITGB4, -2;FARP1 HNF4A HPCAL4 NHLH1, -1;FARP1 RCN3 REEP1 SCN5A, -2;FLI1 GDNF TAS2R16, -2;FRAT1 GDNF OSBPL9, -2;GAA GPR35 MSC SCN5A, -2;GAA GPR35 MSC SCN5A UGT1A1, -1;GDNF, -3;GDNF MCTP2 PAX2 QPCTL, -2;MYL1 SCN5A, -3;NHLH1, -3;NHLH1 WFDC1, -3;SCN5A, -3	-3	E2F5 NHLH1 TRIM32
GNAI1	602	13	ATM GNAI1 PRKCB, -3;ATP5B GNAI1 TCF4 ZFP36L2, -2;BAK1 BDNF GNAI1, -3;CD3EAP GNAI1 PRKCA, -3;CD3EAP GNAI1 PRKCA THBS1, -2;CEACAM8 GNAI1 LAMB3 SOX2, -2;COL16A1 GNAI1 PRKCA, -3;DHRS7 GAA GNAI1, -3;DLG2 GNAI1 PADI3 PRKCA, -2;FBN1 GNAI1 RPL10A, -3;GNAI1 GPR137B IL12A RCAN2, -2;GNAI1 PRKCA, -4;GNAI1 PRKCB QPCTL, -3	-4	GNAI1 PRKCA
GNAI1 GPR137B IL12A RCAN2	583	32	ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;ADAMTS5 CARD9 RCAN2 TNC, -1;AGER BAK1 E2F5 IL12A, -1;ATM GNAI1 PRKCB, -1;ATP1B3 RCAN2, -2;ATP5B GNAI1 TCF4 ZFP36L2, -1;BAK1 BDNF GNAI1, 0;BAK1 IL12A SV2A, -2;BMP2K E2F5 ERCC2 IL12A, -1;C1QA ELN IL12A ITIH4, -2;CD3EAP GNAI1 PRKCA, -1;CD3EAP GNAI1 PRKCA THBS1, -1;CEACAM1 GADD45G GPR137B MCTP2, -1;CEACAM8 GNAI1 LAMB3 SOX2, -1;COL16A1 GNAI1 PRKCA, -1;DHRS7 GAA GNAI1, 0;DLG2 GNAI1 PADI3 PRKCA, -1;FBN1 GNAI1 RPL10A, -1;FXYD5 GABBR2 GPR137B, -1;FXYD5 GPR137B, -2;GNAI1, -2;GNAI1 PRKCA, -2;GNAI1 PRKCB QPCTL, -2;GPR137B, -2;GPR137B MME, -2;GPR35 IL12A LAMB3, -2;HNF4A IL12A MAPT, -2;IL12A, -2;IL12A MAPT, -2;IL12A ZNF668, -2;MRPS12 RCAN2 RCVRN SLC39A4, 0;RCAN2, -2	-2	ATP1B3 RCAN2
GNAI1 PRKCA	582	33	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;ATM ELN NGF PRKCA, -2;ATM GNAI1 PRKCB, -3;ATP5B DLG2 PRKCA RCVRN, -2;ATP5B ERCC2 ITIH4 PRKCA, -2;ATP5B GNAI1 TCF4 ZFP36L2, -2;ATP5B PRKCA, -4;BAK1 BDNF GNAI1, -2;BIRC3 BSCL2 PRKCA, -3;BMP2K DCHS2 PRKCA ZIC4, -2;CD3EAP GNAI1 PRKCA, -9;CD3EAP GNAI1 PRKCA THBS1, -8;CEACAM8 GNAI1 LAMB3 SOX2, -2;COL16A1 GNAI1 PRKCA, -9;DDR2 PRKCA TAC1, -3;DDR2 PRKCA VAMP5, -3;DHRS7 GAA GNAI1, -2;DLG2 GNAI1 PADI3 PRKCA, -8;ELK3 PRKCA TNC, -3;FBN1 GNAI1 RPL10A, -3;GNAI1, -4;GNAI1 GPR137B IL12A RCAN2, -2;GNAI1 PRKCB QPCTL, -3;GNRH2 HTR2A PRKCA, -3;ITGB7 PRKCA, -4;ITGBL1 PRKCA, -4;KIF14 MVK PRKCA, -3;MT1H PRKCA, -4;NGF PRKCA SH3TC1 TGFBI, -2;PRKCA, -4;PRKCA TGFBI, -3;PRKCA TLE1, -3	-9	CD3EAP GNAI1 PRKCA
GNAI1 PRKCB QPCTL	592	23	ATM GNAI1 PRKCB, -8;ATP5B GNAI1 TCF4 ZFP36L2, -2;BAK1 BDNF GNAI1, -1;BAK1 ELN PRKCB, -2;BAZ2A IRAK3 QPCTL, -3;BDNF PRKCB TGFB2, -3;BIRC3 QPCTL RPH3AL, -2;CD3EAP GNAI1 PRKCA, -2;CD3EAP GNAI1 PRKCA THBS1, -2;CEACAM8 GNAI1 LAMB3 SOX2, -2;COL16A1 GNAI1 PRKCA, -2;DDR2 PRKCB, -3;DHRS7 GAA GNAI1, -1;DLG2 GNAI1 PADI3 PRKCA, -2;FBN1 GNAI1 RPL10A, -2;FXYD1 PRKCB, -3;GDNF MCTP2 PAX2 QPCTL, -2;GNAI1, -3;GNAI1 GPR137B IL12A RCAN2, -2;GNAI1 PRKCA, -3;GRIK3 LMO3 QPCTL VAMP5, -2;IRAK3 QPCTL, -3;ITIH4 PRKCB REEP1 RPL10A XBP1, -1	-8	ATM GNAI1 PRKCB
GNRH2	612	3	BDNF GNRH2, -4;F13A1 GNRH2 IRF1, -3;GNRH2 HTR2A PRKCA, -3	-4	BDNF GNRH2
GNRH2 HTR2A PRKCA	583	32	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;ATM ELN NGF PRKCA, -2;ATP5B DLG2 PRKCA RCVRN, -2;ATP5B ERCC2 ITIH4 PRKCA, -2;ATP5B PRKCA, -3;BDNF GNRH2, -2;BIRC3 BSCL2 PRKCA, -3;BMP2K DCHS2 PRKCA ZIC4, -2;C4BPA CYP27A1 HTR2A NRTN, -2;CBR1 EXT1 GRIK3 HTR2A, -1;CD3EAP GNAI1 PRKCA, -3;CD3EAP GNAI1 PRKCA THBS1, -2;COL16A1 GNAI1 PRKCA, -3;DDR2 PRKCA TAC1, -2;DDR2 PRKCA VAMP5, -2;DLG2 GNAI1 PADI3 PRKCA, -2;ELK3 PRKCA TNC, -2;F13A1 GNRH2 IRF1, -2;GNAI1 PRKCA, -3;GNRH2, -3;HTR2A LCN2 S100P, -2;HTR2A PHF20 XBP1, -2;HTR2A RPH3AL TLR4, -2;ITGB7 PRKCA, -3;ITGBL1 PRKCA, -3;KIF14 MVK PRKCA, -3;MT1H PRKCA, -3;NGF PRKCA SH3TC1 TGFBI, -1;PRKCA, -3;PRKCA TGFBI, -2;PRKCA TLE1, -2	-3	ATP5B PRKCA
GPR137B	609	6	ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;CEACAM1 GADD45G GPR137B MCTP2, -2;FXYD5 GABBR2 GPR137B, -3;FXYD5 GPR137B, -4;GNAI1 GPR137B IL12A RCAN2, -2;GPR137B MME, -4	-4	FXYD5 GPR137B
GPR137B MME	604	11	ADAM28 CEACAM1 GPR137B HOXA3 SETD4, -1;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;CEACAM1 GADD45G GPR137B MCTP2, -2;DAB2 GDNF MME, -3;DDR2 MME POU6F1, -3;FXYD5 GABBR2 GPR137B, -2;FXYD5 GPR137B, -3;GNAI1 GPR137B IL12A RCAN2, -2;GPR137B, -4;MME, -4;MME MRTO4, -3	-4	GPR137B
GPR35 IL12A LAMB3	588	27	ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 ITGB4 LAMB3 PAX4, -2;AGER BAK1 E2F5 IL12A, -1;ALX1 FLI1 GPR35 NPY1R, -1;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 IL12A SV2A, -3;BDNF LAMB3 VENTX, -2;BMP2K E2F5 ERCC2 IL12A, -1;BMP2K LAMB3 TLE1, -2;C1QA ELN IL12A ITIH4, -2;CALCOCO1 LAMB3, -3;CD1D GPR35 ITIH4 OSBPL9, -2;CEACAM8 GNAI1 LAMB3 SOX2, -2;DLG2 LAMB3, -3;ELK3 LAMB3, -3;F13A1 LAMB3 MYL1 RPL10A, -1;GAA GPR35 MSC SCN5A, -2;GAA GPR35 MSC SCN5A UGT1A1, -1;GNAI1 GPR137B IL12A RCAN2, -2;HNF4A IL12A MAPT, -3;IGF1 LAMB3, -3;IL12A, -3;IL12A MAPT, -3;IL12A ZNF668, -3;LAMB3, -3;LAMB3 MRTO4 PAIP2B, -1;LAMB3 PCDH12, -2	-3	BAK1 IL12A SV2A
GRIK3 LMO3 QPCTL VAMP5	598	17	ADAM28 ELN GRIK3, 0;ALX1 SGCA VAMP5, -2;BAZ2A IRAK3 QPCTL, -2;BIRC3 QPCTL RPH3AL, -2;C1QA GRIK3 TRIP10, -1;CBR1 EXT1 GRIK3 HTR2A, 0;CBR1 GRIK3, -1;DDR2 PRKCA VAMP5, -2;FOXC2 IL23A LMO3, -1;GAA GRIK3 KCNK12 MT1H, -1;GDNF MCTP2 PAX2 QPCTL, -1;GNAI1 PRKCB QPCTL, -2;GRIK3 NMT2, -2;HR ITGBL1 SYNPO VAMP5 XBP1, -1;IRAK3 QPCTL, -2;LMO3 TGFBR3, -2;VAMP5, -2	-2	ALX1 SGCA VAMP5
GRIK3 NMT2	599	16	ADAM28 ELN GRIK3, -2;ATM HMG20B NMT2, -3;ATP5B MAPT NMT2, -3;C1QA GRIK3 TRIP10, -3;CBR1 EXT1 GRIK3 HTR2A, -2;CBR1 GRIK3, -3;ERCC2 ITIH4 NMT2, -3;FARP1 NMT2, -4;GAA GRIK3 KCNK12 MT1H, -2;GADD45G NMT2, -4;GADD45G NMT2 SLC7A2, -3;GRIK3 LMO3 QPCTL VAMP5, -2;MSX2 NMT2 RPL10A TAS2R16, -2;NMT2, -4;NMT2 PPA2, -3;NMT2 TGFBR3, -3	-4	FARP1 NMT2
GRTP1 KIF13B MRTO4 RPL18	589	26	ACTN1 BDNF MRTO4, -2;ADAMTS5 CTGF GRTP1, 0;AGER MRTO4, -2;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;BDNF CFD INS MRTO4, -1;BSCL2 CD40 GRTP1 PDIA3, 0;BUB1 MRTO4 OLFML2B, -2;CALCOCO1 GRTP1 LAMA5 PNLIP, -1;CDH6 MRTO4 PAIP2B, -2;CEACAM1 COL1A1 GRTP1 PHLDA1, 0;CTGF ELK3 FBN1 GRTP1 PALM, 1;CTGF RPL18, -2;DLG2 KIF13B, -2;E2F5 MRTO4 TLR4, -2;GADD45B KIF13B, -2;HMGA1 ITGB7 KIF13B PADI3, -1;ITGB7 KIF13B SLC7A2, -2;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, 0;KIF13B, -2;KIF13B PRLR, -2;LAMA5 LILRB5 MRTO4 OSBPL9, -2;LAMB3 MRTO4 PAIP2B, -2;LILRB5 MRTO4 TLE1, -2;MME MRTO4, -2;MRTO4, -2;MRTO4 TLR4, -2	-2	ACTN1 BDNF MRTO4
GTDC1 KCNK12 MT1H PRLR	595	20	AGER KCNK12, -2;ATP5B BMI1 FXYD1 PRLR, -2;BIRC3 GTDC1 JPH2 PAX2, -1;CPB2 ERCC2 GAA KCNK12 MT1H, -6;CTGF MT1H, -2;DDR2 POU6F1 PRLR SYNPO, -1;ELN PRLR, -2;FBN1 MT1H, -2;FBN1 MT1H VENTX, -2;FHL3 FRAT1 GTDC1, 0;FXYD1 HMOX1 PAIP2B PRLR, -2;GAA GRIK3 KCNK12 MT1H, -7;IFI16 IRAK3 ITGBL1 LAMA5 MT1H SGK1, 0;KCNK12 MT1H PRLR SLC34A1, -13;KIF13B PRLR, -2;MCTP2 MT1H PKNOX1 RPH3AL, -1;MT1H, -2;MT1H PRKCA, -2;PRLR, -2;PRLR RCN3, -1	-13	KCNK12 MT1H PRLR SLC34A1
GTF2H5 PDIA3 WIPF1 ZIC4	601	14	BMP2K DCHS2 PRKCA ZIC4, -2;BMP2K DCHS2 ZIC4, -2;BSCL2 CD40 GRTP1 PDIA3, 0;C1QA PDIA3 SAMD9 VEGFC, -2;ELK3 MRPS12 PDIA3 QKI, -1;FLI1 HMGA1 PDIA3 TRIP10, -1;GABBR2 GADD45G PDIA3, -1;GTF2H5 UBQLN4, -2;HOXB8 SLC7A2 WIPF1, -2;IGF1 MSC PDIA3 PPA2, -1;PDIA3, -2;PDIA3 PNLIP, -2;PDIA3 SYK, -2;PLXNC1 WIPF1, -2	-2	BMP2K DCHS2 PRKCA ZIC4
GTF2H5 UBQLN4	614	1	GTF2H5 PDIA3 WIPF1 ZIC4, -2	-2	GTF2H5 PDIA3 WIPF1 ZIC4
